[epoch: 1, iter:     1] loss: 0.04294
, loss_inr: 0.00000[epoch: 7, iter:    31] loss: 0.01618
, loss_inr: 0.00000[epoch: 7, iter:    41] loss: 0.01622
, loss_inr: 0.00000[epoch: 7, iter:    51] loss: 0.01620
, loss_inr: 0.00000[epoch: 7, iter:    61] loss: 0.01621
, loss_inr: 0.00000[epoch: 7, iter:    71] loss: 0.01624
, loss_inr: 0.00000[epoch: 7, iter:    81] loss: 0.01618
, loss_inr: 0.00000[epoch: 7, iter:    91] loss: 0.01617
, loss_inr: 0.00000[epoch: 7, iter:   101] loss: 0.01616
, loss_inr: 0.00000[epoch: 7, iter:   111] loss: 0.01614
, loss_inr: 0.00000[epoch: 7, iter:   121] loss: 0.01609
, loss_inr: 0.00000[epoch: 7, iter:   131] loss: 0.01616
, loss_inr: 0.00000[epoch: 7, iter:   141] loss: 0.01615
, loss_inr: 0.00000[epoch: 7, iter:   151] loss: 0.01607
, loss_inr: 0.00000[epoch: 7, iter:   161] loss: 0.01612
, loss_inr: 0.00000[epoch: 7, iter:   171] loss: 0.01619
, loss_inr: 0.00000[epoch: 7, iter:   181] loss: 0.01615
, loss_inr: 0.00000[epoch: 7, iter:   191] loss: 0.01618
, loss_inr: 0.00000[epoch: 7, iter:   201] loss: 0.01611
, loss_inr: 0.00000[epoch: 7, iter:   211] loss: 0.01608
, loss_inr: 0.00000[epoch: 7, iter:   221] loss: 0.01608
, loss_inr: 0.00000[epoch: 7, iter:   231] loss: 0.01608
, loss_inr: 0.00000[epoch: 7, iter:   241] loss: 0.01612
, loss_inr: 0.00000[epoch: 7, iter:   251] loss: 0.01609
, loss_inr: 0.00000[epoch: 7, iter:   261] loss: 0.01603
, loss_inr: 0.00000[epoch: 7, iter:   271] loss: 0.01601
, loss_inr: 0.00000[epoch: 7, iter:   281] loss: 0.01597
, loss_inr: 0.00000[epoch: 7, iter:   291] loss: 0.01605
, loss_inr: 0.00000[epoch: 7, iter:   301] loss: 0.01598
, loss_inr: 0.00000[epoch: 7, iter:   311] loss: 0.01596
, loss_inr: 0.00000[epoch: 7, iter:   321] loss: 0.01598
, loss_inr: 0.00000[epoch: 7, iter:   331] loss: 0.01595
, loss_inr: 0.00000[epoch: 7, iter:   341] loss: 0.01598
, loss_inr: 0.00000[epoch: 7, iter:   351] loss: 0.01599
, loss_inr: 0.00000[epoch: 7, iter:   361] loss: 0.01600
, loss_inr: 0.00000[epoch: 7, iter:   371] loss: 0.01591
, loss_inr: 0.00000[epoch: 7, iter:   381] loss: 0.01596
, loss_inr: 0.00000[epoch: 7, iter:   391] loss: 0.01593
, loss_inr: 0.00000[epoch: 7, iter:   401] loss: 0.01596
, loss_inr: 0.00000[epoch: 7, iter:   411] loss: 0.01586
, loss_inr: 0.00000[epoch: 7, iter:   421] loss: 0.01595
, loss_inr: 0.00000[epoch: 7, iter:   431] loss: 0.01592
, loss_inr: 0.00000[epoch: 7, iter:   441] loss: 0.01595
, loss_inr: 0.00000[epoch: 7, iter:   451] loss: 0.01593
, loss_inr: 0.00000[epoch: 7, iter:   461] loss: 0.01588
, loss_inr: 0.00000[epoch: 7, iter:   471] loss: 0.01593
, loss_inr: 0.00000[epoch: 7, iter:   481] loss: 0.01591
, loss_inr: 0.00000[epoch: 7, iter:   491] loss: 0.01589
, loss_inr: 0.00000[epoch: 7, iter:   501] loss: 0.01585
